,caption,commentsCount,likesCount,mentions0,mentions1,mentions2,mentions3,mentions4,mentions5,mentions6,timestamp,type,videoDuration,videoPlayCount,videoViewCount
0,rhode booth takes london thank everyone came today,273,18639,,,,,,,,2024-07-27T19:44:32.000Z,Video,47.566,436615.0,86283.0
1,curated intentional essential edited collection high performance essentials designed used every day dreamy textures meet efficacious formulas natural touches color nourished barrier glaze glow find go rhodeskincom,300,94714,,,,,,,,2024-07-29T16:31:04.000Z,Image,,,
2,sun care long days sun leave skin feeling fragile irritated dehydrated skincare essentials packed gentle yet efficacious ingredients nourished barrier juicy glow formulated ceramides niacinamide shea butter give skin needs feel replenished refreshed get summer essentials rhode kit rhodeskincom,134,14710,,,,,,,,2024-07-24T16:29:43.000Z,Sidecar,,,
3,rhode combos monochromatic coral look ft pocket blush spicy marg peptide lip tint guava spritz ,108,26905,@gaciavtn,,,,,,,2024-07-28T15:47:01.000Z,Sidecar,,,
4,tasty melty glowy,954,48014,,,,,,,,2024-07-25T16:00:28.000Z,Video,8.6,915762.0,214347.0
5,little treat see tomorrow 9am pt ,864,98644,,,,,,,,2024-07-31T16:02:08.000Z,Image,,,
6,rhode postcard greetings saint tropez destination french riviera temp 31°c/87°f aroma salty coastal breeze best bites strawberry sorbet skin pocket blush freckle rhode essentials ,116,29848,@maria.calvet,,,,,,,2024-07-30T16:05:48.000Z,Sidecar,,,
7,peach pocket go matching lip case peptide lip tint peach pit pocket blush freckle ,156,14251,@barbara_ines,,,,,,,2024-07-26T16:01:01.000Z,Video,21.566,357671.0,72446.0
8,splash coral pocket blush spicy marg peptide lip tint guava spritz summer lip case guava spritz,206,70603,,,,,,,,2024-07-23T16:00:48.000Z,Sidecar,,,
9,blush 3 ways designed pocket blush easy apply whatever tool like  shows us tap fingers sweep brush bounce blender using shades freckle juice box sleepy girl ,187,32022,@manthony783,,,,,,,2024-07-21T16:00:55.000Z,Sidecar,,,
10,surprise sprinkle nyc pop exclusive blush got much love bringing pocket blush shade sprinkle pearlescent warm pink glow limited supply little bit left rhodeskincom,797,76959,,,,,,,,2024-08-01T16:01:08.000Z,Sidecar,,,
11,rhode glam coral look summer night prep press glazing milk hydrated makeup base glaze mix peptide glazing fluid foundation extra glow flush pocket blush spicy marg toasted teddy gradient effect tint swipe peptide lip tint guava spritz glossy coral finish,106,11078,@kendalldair,,,,,,,2024-07-22T16:22:36.000Z,Video,47.066,348650.0,83560.0
12,peptide lip tints sheer buildable formula melts onto lips nourishing hydration hint tint available core limited edition shades core shades espresso rich brown toast rose taupe ribbon sheer pink raspberry jelly crushed berry limited edition summer shades salty tan soft mauve shortcake baby pink guava spritz bright coral peach pit neutral peach collect rhodeskincom,372,81060,,,,,,,,2024-07-20T16:01:15.000Z,Sidecar,,,
13,rhode à la plage ps forget wear spf,351,54886,,,,,,,,2024-07-18T16:03:00.000Z,Sidecar,,,
14,sun kissed sleepy salty,168,37746,,,,,,,,2024-07-11T16:08:06.000Z,Sidecar,,,
15,shades summer ,358,59081,,,,,,,,2024-07-12T16:01:01.000Z,Video,4.233,1175876.0,267721.0
16,everyday essentials rhode philosophy make one everything really good us means collection intentional high performance essentials reach everyday ones love rely always come back ultimate barrier nourishment tint glow,175,28387,,,,,,,,2024-07-13T16:01:41.000Z,Sidecar,,,
17,rhode postcard greetings sweden destination swedish west coast temp 23℃/75℉ best bites strawberry shortcake fave view sunset boat aroma fresh strawberries cream skin pocket blush sleepy girl rhode essentials ,281,40457,@matildadjerf,,,,,,,2024-07-16T16:41:24.000Z,Sidecar,,,
18,toasted teddy tricks toasted teddy designed multitask routine use ways one 3 favorite techniques worn best get ready teddy rhodeskincom,244,35256,,,,,,,,2024-07-17T17:02:04.000Z,Video,44.366,881406.0,246216.0
19,double duty duos combine paired shades pocket blush limited edition peptide lip tints effortless monochromatic look peach duo freckle peach pit mauve duo sleepy girl salty tan pink duo piggy shortcake coral duo spicy marg guava spritz rhodeskincom,235,31543,,,,,,,,2024-07-10T16:05:45.000Z,Sidecar,,,
20,favorite flush spent years developing go cream blush make sure checked boxes reasons love pocket blush pick rhodeskincom,199,39391,,,,,,,,2024-07-19T16:01:16.000Z,Sidecar,,,
21,summer rhode,367,95623,,,,,,,,2024-07-09T16:02:11.000Z,Image,,,
22,dewy skin glowy cheeks step 1 skin prep hydrated glowy base glazing milk peptide glazing fluid brc step 2 lightweight base makeup foundation concealer step 3 apply toasted teddy outer parts cheeks towards temples step 4 add sleepy girl apples cheeks center lips step 5 blend everything marry shades together,182,12889,@cherishbrookehill,,,,,,,2024-07-14T16:02:32.000Z,Sidecar,,,
