,collectCount,commentCount,createTimeISO,likes,mentions0,mentions1,playCount,shareCount,text,videoMeta/duration,videoMeta/format
0,38,91,2024-08-01T17:05:41.000Z,1000,,,21900,12,aaliyah wears pocket blush sprinkle,12,mp4
1,516,112,2024-08-01T17:04:44.000Z,12100,,,89000,262,world sprinkle,0,
2,358,162,2024-08-01T16:22:42.000Z,9267,,,73600,115,rhode combos hb wears pocket blush sprinkle lip tint shortcake,38,mp4
3,209,159,2024-08-01T16:15:19.000Z,7955,@S,,107500,227,replying sprinkle nyc pop exclusive blush got much love bringing pocket blush shade sprinkle pearlescent warm pink glow,7,mp4
4,622,203,2024-07-31T23:34:41.000Z,19300,,,153100,437,see tomorrow 9am pt,8,mp4
5,617,277,2024-07-31T16:06:35.000Z,15200,,,144300,1463,little treat see tomorrow 9am pt,10,mp4
6,58,21,2024-07-31T15:57:56.000Z,1281,,,25200,20,summer bottle glazing milk essential prep step lightweight hydration luminous makeup base full ceramides beta glucan magnesium blend help calm skin provide day hydration,34,mp4
7,584,79,2024-07-31T05:26:15.000Z,9198,,,110000,233,sheer buildable formula melts onto lips nourishing hydration hint tint,10,mp4
8,62,19,2024-07-31T01:05:08.000Z,1371,,,23300,15,rhode summer,11,mp4
9,96,32,2024-07-30T19:06:14.000Z,1017,@Vanessa,,25500,21,rhode combos sun kissed look using pocket blush shades toasted teddy piggy,30,mp4
10,82,31,2024-07-30T01:04:38.000Z,1289,@eva,,31700,4,get ready rhode  rose glazed glowy 4 steps,55,mp4
11,406,84,2024-07-29T22:05:48.000Z,11500,,,117100,256,scoop shortcake,8,mp4
12,84,37,2024-07-29T19:26:30.000Z,1669,@Taylor,,31700,46,swatches pocket blush shade spicy marg,15,mp4
13,91,31,2024-07-28T17:38:43.000Z,1356,@Gacia’s,,42100,29,rhode combos monochromatic coral look ft pocket blush spicy marg peptide lip tint guava spritz,18,mp4
14,142,36,2024-07-28T17:31:36.000Z,3166,@Amber,,53200,39,holly wears pocket blush juice box piggy lip tint guava spritz,22,mp4
16,184,51,2024-07-28T01:13:26.000Z,6652,@annie,,74300,68,rhode booth,17,mp4
17,1754,175,2024-07-28T01:01:19.000Z,48100,@bychanelle,,287600,1843,rhode booth,9,mp4
18,507,58,2024-07-27T22:27:40.000Z,17800,@Gary,,225200,321,thompson,10,mp4
19,182,53,2024-07-27T19:49:28.000Z,6699,,,70500,264,rhode booth takes london,47,mp4
20,125,43,2024-07-27T16:58:25.000Z,3719,@DANIELLE,,56300,133,rhode booth,16,mp4
21,1696,239,2024-07-27T16:47:28.000Z,38600,,,662600,5529,rhode booth london thank everyone came today,26,mp4
22,180,32,2024-07-26T22:32:27.000Z,2691,@Courtney,,49800,77,antalek pocket blush shade juice box,16,mp4
23,390,48,2024-07-26T18:59:29.000Z,4362,,,47100,52,ones love rely always come back ultimate barrier nourishment tint glow,0,
24,118,26,2024-07-26T16:28:39.000Z,1781,@Kadija,,33800,36,pocket blush toasted teddy swipe lip tint guava spritz,19,mp4
25,111,55,2024-07-25T22:00:22.000Z,1870,,,37600,52,beach blanket essentials,15,mp4
26,114,27,2024-07-25T21:10:04.000Z,1748,@Izabel,,39600,40,rhode combos  ottoni wears pocket blush toasted teddy spicy marg peptide lip tint guava spritz,19,mp4
27,141,30,2024-07-25T16:04:25.000Z,4280,,,57500,49,tasty melty glowy,8,mp4
28,95,30,2024-07-25T00:49:43.000Z,1425,@Tziporah,,41200,30,blush blushing  wears pocket blush shade juice box,9,mp4
30,82,30,2024-07-24T16:57:26.000Z,1317,@Chloe,,33800,14,guava spritz lips brown,10,mp4
31,76,37,2024-07-23T23:34:42.000Z,1076,@Meredith,,38300,23,duxbury go glam ft pocket blush shade piggy,13,mp4
32,487,66,2024-07-23T22:21:07.000Z,5111,,,64600,106,peptide lip tints sheer buildable formula melts onto lips nourishing hydration hint tint available core limited edition shades,0,
33,225,43,2024-07-23T16:15:06.000Z,4424,@Julieta,,92500,114,rhode go gracia,9,mp4
34,81,40,2024-07-23T00:28:50.000Z,2073,@Tanicha,,64200,20,rose pocket blush first impressions dreamy creamy buildable formula melts onto skin,99,mp4
35,712,39,2024-07-22T19:39:13.000Z,9013,@yodeebs,,101900,113,recreates hb piggy mani,14,mp4
36,118,22,2024-07-22T16:31:02.000Z,1772,@kendalldairr’s,,39800,22,rhode glam coral look summer night,47,mp4
37,1450,66,2024-07-22T01:26:40.000Z,9475,@Valerie,,92400,152,summer lip looks de santiago,0,
38,2290,92,2024-07-21T17:55:15.000Z,14300,,,312400,892,chailee swatches six shades pocket blush,51,mp4
39,226,52,2024-07-21T16:06:27.000Z,6626,,,60500,52,go glow,8,mp4
40,268,32,2024-07-21T00:41:51.000Z,1866,@DACEY,,48400,109,made blush cash swatches six shades pocket blush,168,mp4
41,134,42,2024-07-20T18:21:16.000Z,3638,,,53300,24,put us pocket,0,
42,82,24,2024-07-20T16:15:17.000Z,1746,@Tyanna,,43000,22,gold pocket blush shade spicy marg tangy bright coral glow,9,mp4
43,141,53,2024-07-19T23:30:50.000Z,2333,,,41700,66,rhode summer,11,mp4
44,246,49,2024-07-19T19:39:29.000Z,2711,@Michaela,,47600,118,swatches four limited edition peptide lip tints available rhodeskincom,32,mp4
45,2017,137,2024-07-19T16:56:17.000Z,16100,@mathilde,,336100,1321,pocket blush unboxed,17,mp4
46,62,33,2024-07-18T23:52:47.000Z,1215,@isa,,39500,17,go spicy marg peach pit rhode combo ?,17,mp4
47,107,37,2024-07-18T18:18:37.000Z,1305,@ines_lblc,,34100,55,shortcake sea carries matching summer lip case peptide lip tint shortcake,11,mp4
48,187,33,2024-07-18T16:22:43.000Z,3254,@Gacia,,56200,49,sunset blush pocket blush shade juice box pocket blush shade spicy marg pocket blush shade piggy finishing touches lip tint shade peach pit,25,mp4
50,95,44,2024-07-17T20:06:02.000Z,1158,@Kelly,,33200,45,little blush little flush swatches six shades pocket blush,23,mp4
51,882,64,2024-07-17T17:15:03.000Z,12200,,,146400,497,toasted teddy designed multitask routine use ways one 3 favorite techniques worn best,44,mp4
52,813,85,2024-07-16T23:25:40.000Z,13700,,,153600,143,pocket blush inspired mani,17,mp4
53,144,35,2024-07-16T19:37:08.000Z,4791,@Natalia,,60600,32,pocket sized essentials bryant,15,mp4
54,566,77,2024-07-16T16:45:33.000Z,14400,@Matilda,,159200,236,rhode postcard greetings sweden djerf,12,mp4
56,133,49,2024-07-15T20:11:13.000Z,2700,,,46800,52,rhode ingredients cupuaçu meet moisturizing ingredient rhode lips cupuaçu perfect hydrating sun soaked dry lips summer long,13,mp4
57,147,36,2024-07-14T20:53:12.000Z,1843,@ana,,47600,60,mauve duo sleepy girl salty tan,29,mp4
58,107,40,2024-07-14T17:44:21.000Z,1682,@RUBY,,45700,35,phone  pocket blush,9,mp4
59,312,38,2024-07-14T16:12:30.000Z,6067,,,64300,130,slow start,8,mp4
60,212,61,2024-07-13T23:34:46.000Z,6101,@Izabel,,123100,64,first impressions pocket blush ottoni pocket blush shade toasted teddy pocket blush shade piggy lip tint shade peach pit,59,mp4
61,6273,601,2024-07-13T19:53:47.000Z,119400,@poonam,,576000,5128,rhode love sidhu,7,mp4
62,117,35,2024-07-13T16:12:09.000Z,2165,@lindsay,,47800,43,conway pocket blush shade sleepy girl,9,mp4
63,203,36,2024-07-12T23:58:27.000Z,3463,@Kika,,75800,56,cerqueira gomes wears pocket blush shade toasted teddy lip tint shade peach pit,47,mp4
64,454,82,2024-07-12T17:57:48.000Z,13200,@tate,,117700,184,lip case sightings  mcrae peach pit,45,mp4
65,127,29,2024-07-12T16:35:22.000Z,1065,,,35900,125,shades summer,4,mp4
66,168,40,2024-07-12T00:09:18.000Z,2966,,,56200,53,summertime salty tan,10,mp4
67,513,104,2024-07-11T20:10:49.000Z,8902,,,116900,342,six everyday shades gives super natural flush color like woken nap spent bit much time sun,6,mp4
68,217,44,2024-07-11T16:23:36.000Z,3774,@Andrea,,71400,75,sun spf coral duo yamhure,12,mp4
69,175,44,2024-07-10T23:03:07.000Z,1738,,,58200,87,double duty duos combine paired shades pocket blush limited edition peptide lip tints effortless monochromatic look,7,mp4
70,74,36,2024-07-10T18:29:45.000Z,1697,@ajailakenyara,,49700,35,dreamy creamy pocket sized swatches pocket blush shades sleepy girl spicy marg juice box toasted teddy,35,mp4
72,1373,112,2024-07-10T00:28:10.000Z,20300,@jaclyn,,546800,615,toasted teddy touch ups bronze terracotta blush,12,mp4
73,234,64,2024-07-09T22:04:09.000Z,4216,,,76700,120,lip tint shade salty tan sheer soft mauve tint,15,mp4
74,125,39,2024-07-09T16:36:06.000Z,2046,@Schaebreezy_,,58200,58,swatches pocket blush shade juice box lip tint shade salty tan,15,mp4
75,159,38,2024-07-08T22:55:08.000Z,2324,@sophiess,,67000,52,sleepy girl touch ups go,12,mp4
76,402,89,2024-07-08T19:34:57.000Z,8212,,,104300,180,peptide lip tint shade shortcake vs ribbon,14,mp4
77,121,36,2024-07-08T16:04:30.000Z,2027,@Jasmine,,60000,48,sweet dreams tookes wears pocket blush shade sleepy girl,17,mp4
78,290,85,2024-07-08T00:38:46.000Z,5799,,,115700,69,fresh press,0,
