PostID,caption,commentsCount,likesCount,mentions0,mentions1,mentions2,mentions3,mentions4,mentions5,mentions6,timestamp,type,videoDuration,videoPlayCount,videoViewCount,engagement_rate,day_of_week,hour_of_day,time_of_day,engagement_type
225,soak skin glaze packed hyaluronic acid niacinamide marula oil peptide glazing fluid gives skin burst juicy hydration instant dewy finish ,98,7143,,,,,,,,2024-01-08 17:00:14+00:00,Image,,,,7241,Monday,17,Afternoon,High
114,pineapple refresh take waterproof sunscreen puts test uv camera formula contains pineapple enzyme gently exfoliate glycolipids mild surfactants help lift easily rinse away waterproof sunscreen makeup impurities surface skin,75,7317,@charlotteparler,,,,,,,2024-04-18 16:04:43+00:00,Video,76.0,400087.0,113858.0,7392,Thursday,16,Afternoon,High
218,soak glazing milk essential prep step daily routine packed nutrient rich clinically proven ingredients like ceramides beta glucan prep skin better product absorption help reduce appearance redness help calm soothe irritated skin boost barrier function provide day hydration give instant luminous glow,143,8963,,,,,,,,2024-01-10 17:00:43+00:00,Video,4.88,1833519.0,223437.0,9106,Wednesday,17,Afternoon,High
89,rhode unpacked rhode kit comes bundled bubble bag perfectly sized hold essentials ,104,9014,,,,,,,,2024-05-20 16:01:23+00:00,Video,22.266,341950.0,80916.0,9118,Monday,16,Afternoon,High
175,loom x rhode futures foundation year rhode futures foundation focused breaking barriers women health supporting organizations initiatives equip women education care deserve advancing reproductive healthcare access improving maternal health outcomes partnered  free comprehensive educational resource promotes health literacy among women girls meet loom co founder  shares created app ways advance health equity loom accessible anyone anytime need download ios,102,9111,@learnwithloom,@ericachidi,,,,,,2024-02-16 17:13:01+00:00,Sidecar,,,,9213,Friday,17,Afternoon,High
120, reaches rhode kit get barrier summer ready pineapple refresh gently exfoliates sweat spf impurities day glazing milk peptide glazing fluid hydrate boost skin barrier function brc provides lightweight moisture without clogging pores get summer essentials rhodeskincom,124,9490,@skincarewithyuri,,,,,,,2024-05-14 16:01:50+00:00,Video,59.566,378040.0,97732.0,9614,Tuesday,16,Afternoon,High
110, gentle nourishing rhode kit routine,162,10286,@immbunny,,,,,,,2024-04-25 16:15:42+00:00,Video,79.233,419648.0,108201.0,10448,Thursday,16,Afternoon,High
143,daily routine ft rhode kit cleanse pineapple refresh silky golden balm cleanses without stripping prep glazing milk milky essence calms soothes barrier glaze peptide glazing fluid gel serum glides effortlessly hydrate restore brc rich cushiony moisturizer cooling creamy moisture tried true essentials rhode bubble bag rhodeskincom,114,10479,,,,,,,,2024-03-22 16:00:59+00:00,Video,28.586,1327475.0,167549.0,10593,Friday,16,Afternoon,High
133,multitasking essentials fit seamlessly routine see uses rhode kit prep skin mix makeup pick kit rhodeskincom,91,10537,@yhkayla,,,,,,,2024-03-29 16:13:42+00:00,Video,57.0,386017.0,88781.0,10628,Friday,16,Afternoon,High
11,rhode glam coral look summer night prep press glazing milk hydrated makeup base glaze mix peptide glazing fluid foundation extra glow flush pocket blush spicy marg toasted teddy gradient effect tint swipe peptide lip tint guava spritz glossy coral finish,106,11078,@kendalldair,,,,,,,2024-07-22 16:22:36+00:00,Video,47.066,348650.0,83560.0,11184,Monday,16,Afternoon,High
