,PostID,videoViewCount,avg_engagement_rate,likesCount
0,0,86283.0,18912.0,18639.0
1,4,214347.0,48968.0,48014.0
2,7,72446.0,14407.0,14251.0
3,11,83560.0,11184.0,11078.0
4,15,267721.0,59439.0,59081.0
5,18,246216.0,35500.0,35256.0
6,25,295173.0,64690.0,64315.0
7,27,79598.0,19477.0,19215.0
8,30,383529.0,20982.0,20676.0
9,34,490224.0,51360.0,50884.0
10,38,472924.0,37463.0,36998.0
11,39,178774.0,40919.0,40457.0
12,45,212837.0,26434.0,26261.0
13,46,399572.0,50750.0,50202.0
14,49,427842.0,48713.0,48379.0
15,52,104452.0,14143.0,14032.0
16,53,214983.0,25372.0,25164.0
17,56,106602.0,15550.0,15444.0
18,63,504004.0,83726.0,83085.0
19,68,528023.0,115281.0,113396.0
20,73,140881.0,23462.0,23042.0
21,77,75920.0,12007.0,11904.0
22,79,180718.0,15173.0,15062.0
23,89,80916.0,9118.0,9014.0
24,92,1914098.0,292070.0,291110.0
25,99,189131.0,36129.0,35794.0
26,104,142093.0,12758.0,12600.0
27,105,180275.0,14277.0,14162.0
28,110,108201.0,10448.0,10286.0
29,111,182605.0,38999.0,38131.0
30,114,113858.0,7392.0,7317.0
31,115,168654.0,32051.0,31811.0
32,120,97732.0,9614.0,9490.0
33,125,1380279.0,217134.0,216350.0
34,128,168845.0,15846.0,15735.0
35,133,88781.0,10628.0,10537.0
36,138,67344.0,16109.0,15967.0
37,143,167549.0,10593.0,10479.0
38,145,89724.0,17413.0,16979.0
39,147,191119.0,18019.0,17842.0
40,149,142355.0,20793.0,20626.0
41,154,2322619.0,233140.0,232260.0
42,156,232405.0,32864.0,32630.0
43,163,128974.0,12448.0,12314.0
44,164,184036.0,13323.0,13005.0
45,168,293052.0,37889.0,37656.0
46,176,1054379.0,99264.0,98919.0
47,177,189411.0,18031.0,17931.0
48,180,301088.0,34507.0,34332.0
49,183,594479.0,24776.0,24605.0
50,187,535362.0,47264.0,46931.0
51,189,328355.0,16984.0,16829.0
52,190,1146107.0,88643.0,88109.0
53,192,82386.0,13096.0,12940.0
54,196,272915.0,58817.0,58598.0
55,199,504997.0,62026.0,61712.0
56,201,216644.0,12343.0,12170.0
57,210,6642301.0,787199.0,784602.0
58,213,499132.0,62170.0,61812.0
59,217,426897.0,41333.0,40720.0
60,218,223437.0,9106.0,8963.0
61,223,163323.0,12496.0,12293.0
62,226,218316.0,31394.0,30369.0
63,231,464491.0,28377.0,28094.0
