,PostID,collectCount,commentCount,createTimeISO,likes,mentions0,mentions1,playCount,shareCount,text,videoMeta/duration,videoMeta/format,engagement_rate,day_of_week,hour_of_day,time_of_day,engagement_type
346,370,70,22,2024-04-10 18:08:28+00:00,842,,,33900,37,spring essentials,4,mp4,864,Wednesday,18,Afternoon,High
221,236,61,13,2024-05-25 18:45:26+00:00,982,@Juju,,34200,12,blues,7,mp4,995,Saturday,18,Afternoon,High
93,98,102,14,2024-07-02 22:09:10+00:00,998,,,43100,12,little tangy elsa wears pocket blush shade spicy marg,0,,1012,Tuesday,22,Evening,High
304,326,43,23,2024-04-25 21:44:13+00:00,997,@Maya2222,,28000,11,day night essentials,0,,1020,Thursday,21,Evening,High
9,9,96,32,2024-07-30 19:06:14+00:00,1017,@Vanessa,,25500,21,rhode combos sun kissed look using pocket blush shades toasted teddy piggy,30,mp4,1049,Tuesday,19,Evening,High
588,634,36,19,2024-01-13 18:53:49+00:00,1039,@eman,,31500,6,new rhode cleanser stay tuned info come soon,78,mp4,1058,Saturday,18,Afternoon,High
0,0,38,91,2024-08-01 17:05:41+00:00,1000,,,21900,12,aaliyah wears pocket blush sprinkle,12,mp4,1091,Thursday,17,Afternoon,High
61,65,127,29,2024-07-12 16:35:22+00:00,1065,,,35900,125,shades summer,4,mp4,1094,Friday,16,Afternoon,High
487,524,84,31,2024-02-18 22:06:14+00:00,1069,,,55400,36,weekend treats rhode hb strawberry glaze soft serve sundae,4,mp4,1100,Sunday,22,Evening,High
29,31,76,37,2024-07-23 23:34:42+00:00,1076,@Meredith,,38300,23,duxbury go glam ft pocket blush shade piggy,13,mp4,1113,Tuesday,23,Evening,High
