,PostID,collectCount,commentCount,createTimeISO,likes,mentions0,mentions1,playCount,shareCount,text,videoMeta/duration,videoMeta/format,engagement_rate,day_of_week,hour_of_day,time_of_day,engagement_type
569,613,52000,4944,2024-01-20 18:05:10+00:00,2000000,,,22500000,4904,rhode bath bomb,35,mp4,2004944,Saturday,18,Afternoon,High
163,171,25900,2650,2024-06-14 16:25:21+00:00,1000000,,,6900000,10900,bts hb summer lip tints,12,mp4,1002650,Friday,16,Afternoon,High
122,129,112300,1063,2024-06-23 18:56:33+00:00,736100,,,7100000,23300,pocket blush inspired mani,16,mp4,737163,Sunday,18,Afternoon,High
196,208,18700,3544,2024-06-04 20:39:33+00:00,658900,@Hailey,,6700000,17600,bieber,17,mp4,662444,Tuesday,20,Evening,High
503,541,11900,1299,2024-02-13 18:00:58+00:00,506200,,,6400000,2395,rhode sightings jb lip case launching february 27th 9am pt join waitlist rhodeskincom,6,mp4,507499,Tuesday,18,Afternoon,High
482,517,11700,990,2024-02-21 23:09:12+00:00,417400,,,2900000,830,would lip cases grab february 27th 9am pt,0,,418390,Wednesday,23,Evening,High
504,542,20600,2131,2024-02-13 17:17:09+00:00,411500,,,2900000,4509,text treat tint peptide lip tints coming back plus something cute hold meet lip case compatible iphone favorite peptide lip tint treatment launching together february 27th 9am pt rhodeskincom,10,mp4,413631,Tuesday,17,Afternoon,High
502,540,13600,1135,2024-02-13 19:35:55+00:00,351400,,,4000000,1449,lip tints finally coming back 4 sheer buildable shades melt onto lips rich glossy finish join waitlist rhodeskincom,10,mp4,352535,Tuesday,19,Evening,High
140,148,8849,1657,2024-06-18 22:52:16+00:00,312400,,,4000000,8427,hot pink summer hb matching summer lip case peptide lip tint shade shortcake arriving june 20th 9am pt,18,mp4,314057,Tuesday,22,Evening,High
463,497,12700,848,2024-02-27 17:03:42+00:00,288600,,,2600000,1692,never lose lip lip case lip tints 4 core colors available rhodeskincom,9,mp4,289448,Tuesday,17,Afternoon,High
