,Unnamed: 0.1,Unnamed: 0,createTimeISO,Likes,text,uniqueId,videoWebUrl,Sentiment,Sentiment_category
0,0,0,2024-08-01,15,sprinkle restock,jane6122,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral
1,1,1,2024-08-02,23,restock,tangerineskylight,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral
2,2,2,2024-08-01,1,havent got confirmation email,smra.xs,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral
3,3,3,2024-08-01,31,day asking restock toasted teddy,ellie_luvsu1,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral
4,4,4,2024-08-02,20,restock pls,whoslinnyy,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral
5,5,5,2024-08-01,9,guess wasnt meant get bc already sold,meganrizzz,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral
6,6,6,2024-08-02,0,dose anyone know found rhode la stores name,goldiazn,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral
7,7,7,2024-08-01,28,restock asp,stephanie0za,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral
8,8,8,2024-08-02,14,restock sprinkle,sarapanwar99,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral
9,9,9,2024-08-01,6,wait get mines website right time ordered sprinkle blu,sonakaz,https://www.tiktok.com/@rhode/video/7398218317787368735,0.2857142857142857,Positive
10,10,10,2024-08-01,14,please bring back didnt get chance purchase,sofiarosvi,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral
11,11,11,2024-08-01,32,sold,ohdiormodel,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral
12,12,12,2024-08-01,7,restock sprinkle pls,acourtofsparkles,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral
13,13,14,2024-08-01,5,restock please,mimisicons,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral
14,14,16,2024-08-01,6,soo excited get mine,crystalc.bay,https://www.tiktok.com/@rhode/video/7398218317787368735,0.375,Positive
15,15,17,2024-08-02,5,went buy sprinkle second got email already sold begging restock,murphyshammermomma,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral
16,16,18,2024-08-02,6,bring back pls,thenotoriousnef,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral
17,17,19,2024-08-01,3,love color,eli01446,https://www.tiktok.com/@rhode/video/7398218317787368735,0.5,Strongly Positive
18,18,20,2024-08-01,2,got mine right,wicnevisnxksk78,https://www.tiktok.com/@rhode/video/7398218317787368735,0.2857142857142857,Positive
19,19,21,2024-08-02,2,please restock toasted teddy,kellyliang00,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral
20,20,22,2024-08-01,1,right shopping cart,hi_hej_hey,https://www.tiktok.com/@rhode/video/7398218317787368735,0.2857142857142857,Positive
21,21,23,2024-08-01,2,rhode best,fernanda.gonzalez841,https://www.tiktok.com/@rhode/video/7398218317787368735,1.0,Strongly Positive
22,22,24,2024-08-01,2,love wait use pocket blow sprinkle first one order think,user3618012093324,https://www.tiktok.com/@rhode/video/7398218317787368735,0.375,Positive
23,23,25,2024-08-01,1,ordered sprinkle wait get,na.taty,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral
24,24,26,2024-08-04,0,restock pls love shade much,amiurshawty,https://www.tiktok.com/@rhode/video/7398218317787368735,0.35,Positive
25,25,29,2024-08-03,0,pls bring rhode sephora greece pls,evakiii12_,https://www.tiktok.com/@rhode/video/7398218317787368735,0.0,Neutral
26,26,30,2024-08-01,400,sold already guys make permanent,nonamestillaname,https://www.tiktok.com/@rhode/video/7398218065583885599,0.0,Neutral
27,27,31,2024-08-01,133,please make blush permanent beautiful shade blush ever,miaardgs,https://www.tiktok.com/@rhode/video/7398218065583885599,0.85,Strongly Positive
28,28,32,2024-08-01,62,please make jellybean permanent,wasntfunnydidnotlaugh,https://www.tiktok.com/@rhode/video/7398218065583885599,0.0,Neutral
29,29,33,2024-08-01,28,please restock,claudiiip,https://www.tiktok.com/@rhode/video/7398218065583885599,0.0,Neutral
30,30,34,2024-08-01,14,hope restocks,rayofsunshinekatt,https://www.tiktok.com/@rhode/video/7398218065583885599,0.0,Neutral
