Topic ID,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15
0,product,rhode,shipping,blu,available,love,u,really,give,amazing,always,ur,worldwide,early,international
1,guy,order,got,know,ive,skincare,already,never,way,mine,today,take,sold,thank,anyone
2,case,iphone,phone,please,make,go,sell,yes,rhode,plus,ah,wow,set,video,id
3,wait,restock,best,ever,perfect,summer,na,gon,packaging,pink,ribbon,time,baby,toast,purchase
4,get,pr,day,rhode,waiting,list,na,wan,try,bought,rhodes,still,buy,live,bc
5,lip,tint,new,cleanser,excited,rhode,europe,pineapple,ordered,raspberry,also,stock,au,finally,espresso
6,rhode,skin,hailey,bieber,please,come,next,country,launch,pop,send,pimple,coming,blush,sticker
7,one,look,like,good,pretty,first,get,release,everything,even,birthday,cry,long,getting,soo
8,glazing,dream,literally,milk,rhode,thats,thing,package,ok,like,made,many,year,hand,greece
9,need,love,rhode,brand,mexico,please,life,south,come,africa,right,actually,salted,caramel,must
10,want,rhode,please,obsessed,sprinkle,bad,see,put,soon,drop,hope,online,website,people,asap
11,pls,rhode,would,sephora,love,much,coming,wish,bag,beautiful,color,come,buy,could,use
12,please,ship,bring,back,jelly,australia,bean,pls,strawberry,restock,rhode,vanilla,kit,passion,plz
13,girl,shade,blush,cute,going,gorgeous,fav,restocking,team,salty,tan,every,name,teddy,used
14,make,lip,treatment,peptide,please,pro,max,size,iphone,money,something,feel,work,restocked,ready
